Date,Time,Time Between Videos,Video ID,
9/5/24,0:14:08,0:00:49,7380790583968861486,
9/5/24,0:14:57,0:00:10,7409712590290472238,
9/5/24,0:15:07,0:00:20,7410560238094454046,
9/5/24,0:15:27,0:00:21,7396377172291702046,
9/5/24,0:15:48,0:00:03,7409579057622371615,
9/5/24,0:15:51,0:00:12,7408903481391713567,
9/5/24,0:16:03,0:00:01,7376293444408315178,
9/5/24,0:16:04,0:00:12,7404154724674473258,
9/5/24,0:16:16,0:00:07,7410556898421787947,
9/5/24,0:16:23,0:00:58,7410612920226204958,
9/5/24,0:17:21,0:01:21,7407533556555124011,
9/5/24,0:18:42,0:00:07,7410767734428028202,
9/5/24,0:18:49,0:00:07,7410794596063546630,
9/5/24,0:18:56,0:00:35,7381665788609973535,
9/5/24,0:19:31,0:00:01,7382643738562039086,
9/5/24,0:19:32,0:00:11,7401917345502924062,
9/5/24,0:19:43,0:00:23,7410610449978281246,
9/5/24,0:20:06,0:00:20,7402622482542349598,
9/5/24,0:20:26,0:00:06,7409977489390374186,
9/5/24,0:20:32,0:00:30,7410587624345177375,
9/5/24,0:21:02,0:00:15,7404235551513136427,
9/5/24,0:21:17,0:00:06,7410940705587088682,
9/5/24,0:21:23,0:00:01,7398308980008766721,
9/5/24,0:21:24,0:00:11,7399162350235864350,
9/5/24,0:21:35,0:00:35,7410552571070369067,
9/5/24,0:22:10,0:00:15,7408997717919157534,
9/5/24,0:22:25,0:00:09,7408877805372476714,
9/5/24,0:22:34,0:00:11,7409728727279586602,
9/5/24,0:22:45,0:00:05,7410118423813819679,
9/5/24,0:22:50,0:08:38,7410597299321113887,
9/5/24,0:31:28,0:00:01,7408562257824681232,
9/5/24,0:31:29,0:00:37,7410821435817512234,
9/5/24,0:32:06,0:00:28,7410494925608979742,
9/5/24,0:32:34,0:00:17,7410855469134122271,
9/5/24,0:32:51,0:00:03,7386908807382781215,
9/5/24,0:32:54,0:00:15,7410079347190680874,
9/5/24,0:33:09,0:00:13,7410222696832732458,
9/5/24,0:33:22,0:00:07,7409262687022042401,
9/5/24,0:33:29,0:00:01,7372240486599298320,
9/5/24,0:33:30,0:00:08,7407188686376275205,
9/5/24,0:33:38,0:00:07,7410623500257479982,
9/5/24,0:33:45,0:00:21,7409542269423881514,
9/5/24,0:34:06,0:00:01,7410871824294153503,
9/5/24,0:34:07,0:00:54,7407592832682200362,
9/5/24,0:35:01,0:00:01,7409385710861585710,
